year,modelId,mileageUnformatted,priceUnformatted,cylinder_engine,size_engine,horsepower_engine,torque_engine,highway_mpg,city_mpg,make,condition,bodyStyle,configuration_engine,type_engine,name_transmission,drivenWheels,market_categories
2013,1336.0,69011.0,15699,8.0,4.4,,,,,3,2,6,0,4,9,3,59
2023,2129.0,4053.0,28699,4.0,2.0,228.0,258.0,31.0,23.0,5,2,7,3,4,10,2,2
2019,1373.0,43318.0,21299,4.0,2.0,248.0,273.0,34.0,23.0,2,2,6,3,4,7,0,55
2018,1018.0,74091.0,41998,8.0,4.0,469.0,479.0,23.0,17.0,26,2,1,0,4,7,3,37
2013,1388.0,86065.0,16999,6.0,3.0,310.0,325.0,28.0,18.0,2,2,6,0,4,9,0,55
2021,2369.0,64853.0,16990,4.0,1.6,180.0,195.0,,,19,2,6,3,4,9,4,59
2020,906.0,102661.0,22399,6.0,3.5,278.0,265.0,24.0,19.0,37,2,8,0,4,5,3,59
2023,2231.0,2900.0,22699,4.0,1.5,152.0,184.0,28.0,25.0,27,2,2,3,4,11,0,0
2020,1440.0,57905.0,34599,8.0,6.4,485.0,475.0,23.0,14.0,9,2,1,0,4,6,3,6
2018,883.0,49205.0,22399,6.0,3.5,301.0,267.0,32.0,22.0,37,2,6,0,4,9,2,20
2018,1472.0,33239.0,55999,8.0,6.2,707.0,650.0,22.0,13.0,9,2,6,0,4,9,3,6
2019,1667.0,33047.0,15499,4.0,1.4,147.0,184.0,40.0,30.0,38,2,6,3,4,9,2,59
2020,1645.0,89312.0,14599,4.0,2.0,174.0,206.0,34.0,23.0,38,2,6,3,4,5,2,59
2019,1889.0,96651.0,24799,6.0,3.5,302.0,267.0,,22.0,21,2,6,0,4,9,2,59
2018,1418.0,104166.0,11299,6.0,3.6,283.0,260.0,25.0,17.0,9,2,4,0,4,5,2,59
2020,1469.0,51192.0,15599,4.0,2.4,172.0,165.0,25.0,19.0,9,2,7,3,4,2,2,0
2020,969.0,27381.0,22899,4.0,2.3,310.0,350.0,30.0,21.0,11,2,1,3,4,6,3,57
2022,1297.0,44850.0,24999,6.0,3.6,287.0,262.0,28.0,19.0,8,2,4,0,4,10,2,57
2013,1381.0,78832.0,11199,4.0,2.0,211.0,258.0,30.0,20.0,2,2,1,3,4,9,0,30
2021,1335.0,41245.0,34497,4.0,2.0,288.0,310.0,29.0,24.0,3,2,6,3,7,9,3,55
2017,1881.0,94552.0,21899,6.0,3.0,340.0,339.0,23.0,17.0,31,2,7,0,4,7,0,32
