year,make,condition,modelId,bodyStyle,mileageUnformatted,priceUnformatted,cylinder_engine,size_engine,configuration_engine,horsepower_engine,torque_engine,type_engine,name_transmission,drivenWheels,market_categories,highway_mpg,city_mpg,segment
2017,Porsche,used,1881.0,suv,85200.0,32149,6.0,3.0,V,360.0,369.0,gas,7A,AWD,"Luxury,High-Performance,Crossover",23.0,17.0,3
2016,Chevrolet,used,1270.0,coupe,31733.0,42995,8.0,6.2,V,460.0,465.0,gas,7M,RWD,High-Performance,29.0,17.0,4
2014,Nissan,used,1501.0,truck,67952.0,15489,6.0,4.0,V,261.0,281.0,gas,,AWD,,21.0,,2
2021,Lexus,used,1885.0,sedan,31696.0,34887,6.0,3.5,V,311.0,280.0,gas,8A,RWD,"Luxury,Performance",28.0,20.0,3
2021,Mercedes-Benz,used,2082.0,suv,26284.0,35399,4.0,2.0,inline,302.0,295.0,gas,8A,AWD,"Luxury,Factory Tuner,Crossover,Performance",29.0,23.0,3
2019,Mercedes-Benz,used,2082.0,suv,57038.0,19699,4.0,2.0,inline,208.0,258.0,gas,7A,AWD,"Luxury,Crossover",31.0,23.0,2
2021,Ford,used,969.0,coupe,20141.0,33999,8.0,5.0,V,460.0,420.0,gas,6M,RWD,Performance,24.0,15.0,3
2016,Dodge,used,1472.0,sedan,72919.0,29797,8.0,6.4,V,485.0,475.0,gas,8A,RWD,High-Performance,25.0,15.0,3
2019,BMW,used,1327.0,suv,62287.0,18199,4.0,2.0,inline,228.0,258.0,gas,8A,FWD,"Luxury,Crossover",32.0,23.0,2
2021,Alfa Romeo,used,2180.0,sedan,12700.0,26589,4.0,2.0,inline,280.0,306.0,gas,8A,RWD,"Luxury,Performance",33.0,24.0,3
2023,Nissan,used,1511.0,sedan,17987.0,21497,4.0,2.5,inline,188.0,180.0,gas,Continuously Variable,FWD,,37.0,27.0,2
2022,Hyundai,used,1064.0,suv,71172.0,17999,4.0,2.5,inline,187.0,178.0,gas,8A,FWD,Crossover,33.0,26.0,2
2023,Mitsubishi,used,1808.0,suv,9443.0,24999,4.0,2.5,inline,181.0,181.0,gas,Continuously Variable,AWD,Crossover,30.0,24.0,2
2016,BMW,used,1335.0,sedan,56578.0,15599,4.0,2.0,inline,240.0,260.0,gas,8A,AWD,Luxury,34.0,22.0,2
2019,Nissan,used,1511.0,sedan,19580.0,15799,4.0,2.5,inline,188.0,180.0,gas,Continuously Variable,FWD,,39.0,28.0,2
2017,Mercedes-Benz,used,2099.0,suv,75135.0,19995,6.0,3.5,V,302.0,273.0,gas,7A,AWD,"Luxury,Crossover",22.0,18.0,2
2016,Lexus,used,1889.0,sedan,77638.0,16499,6.0,3.5,V,268.0,248.0,gas,6A,FWD,"Luxury,Performance",31.0,21.0,2
2016,Mercedes-Benz,used,1014.0,sedan,50006.0,22399,6.0,3.0,V,329.0,354.0,gas,7A,AWD,"Luxury,Performance",26.0,19.0,2
2022,Nissan,used,1512.0,sedan,53388.0,14499,4.0,2.0,inline,149.0,146.0,gas,Continuously Variable,FWD,,39.0,29.0,2
