vin,year,make,model,condition,modelId,bodyStyle,mileageUnformatted,priceUnformatted
5FPYK3F8XPB063685,2023,Honda,Ridgeline,new,860.0,truck,50.0,47605
5J6RW1H81KA041461,2019,Honda,CR-V,used,867.0,suv,54303.0,24694
5YFEPMAE2NP292315,2022,Toyota,Corolla,used,909.0,sedan,32175.0,19499
KMHLM4AG2MU163022,2021,Hyundai,Elantra,used,1058.0,sedan,48357.0,17895
1FMJK1JT5NEA17301,2022,Ford,Expedition MAX,used,2252.0,suv,29102.0,45899
1G1BE5SM9H7276776,2017,Chevrolet,Cruze,used,1259.0,sedan,80220.0,12970
1HGCV2F34MA011418,2021,Honda,Accord,certified pre-owned,856.0,sedan,41286.0,27525
1HGCY2F52PA013133,2023,Honda,Accord Hybrid,used,872.0,sedan,8187.0,30449
3C4NJDDBXMT571719,2021,Jeep,Compass,used,1412.0,suv,54572.0,20849
3FTTW8E90NRA99430,2022,Ford,Maverick,used,2463.0,truck,10825.0,28499
7FART6H5XME011648,2021,Honda,CR-V Hybrid,certified pre-owned,2352.0,suv,31175.0,26949
JN1BJ1AW5MW423693,2021,Nissan,Rogue Sport,used,2175.0,crossover,54450.0,17987
1C4HJXDN2LW198032,2020,Jeep,Wrangler Unlimited,used,1403.0,suv,45285.0,27931
1GC4KXEY7KF151422,2019,Chevrolet,Silverado 3500HD,used,1281.0,truck,90885.0,42795
1GTG6FEN9N1272102,2022,GMC,Canyon,used,1118.0,truck,30943.0,37499
1HGCV1F37NA064819,2022,Honda,Accord,certified pre-owned,856.0,sedan,20214.0,29873
2C3CDXBG2EH177385,2014,Dodge,Charger,used,1472.0,sedan,69652.0,14345
3CZRZ1H50RM710636,2024,Honda,HR-V,certified pre-owned,2092.0,crossover,8683.0,27449
3CZRZ1H53PM734507,2023,Honda,HR-V,used,2092.0,crossover,12622.0,28352
4S3BWAG69L3026753,2020,Subaru,Legacy,used,1080.0,sedan,59564.0,21998
5FNRL6H76PB059245,2023,Honda,Odyssey,used,857.0,minivan,15553.0,40995
5FPYK3F74PB038000,2023,Honda,Ridgeline,certified pre-owned,860.0,truck,2259.0,38687
5N1AR2MNXDC643953,2013,Nissan,Pathfinder,used,1491.0,suv,110120.0,10999
1C4RJEBG2LC404884,2020,Jeep,Grand Cherokee,used,1415.0,suv,72314.0,22888
1GYS3CKJ8KR382164,2019,Cadillac,Escalade,used,1526.0,suv,93862.0,37669
3CZRU5H50NM738811,2022,Honda,HR-V,used,2092.0,crossover,21050.0,23639
3N1AB8CV9NY269909,2022,Nissan,Sentra,used,1512.0,sedan,43820.0,18974
3N1CP5CV4ML532098,2021,Nissan,Kicks,used,2248.0,crossover,31870.0,19891
5FNYF6H63MB039296,2021,Honda,Pilot,used,865.0,suv,40561.0,34748
5FNYG2H22PB004045,2023,Honda,Pilot,certified pre-owned,865.0,suv,31479.0,35445
JN8AT2MVXJW302184,2018,Nissan,Rogue,used,1487.0,crossover,63300.0,19498
1G1FB1RS7M0125509,2021,Chevrolet,Camaro,used,1236.0,coupe,32960.0,26789
1HGCV1F38JA110930,2018,Honda,Accord,used,856.0,sedan,112743.0,17779
2HKRS3H47RH322757,2024,Honda,CR-V,new,867.0,suv,10.0,33815
5FNYG1H75RB028932,2024,Honda,Pilot,new,865.0,suv,10.0,53815
5J6RS5H8XRL003115,2024,Honda,CR-V Hybrid,new,2352.0,suv,10.0,38400
5J6RS5H8XRL003258,2024,Honda,CR-V Hybrid,new,2352.0,suv,10.0,38400
5J8TC1H50LL005262,2020,Acura,RDX,used,1341.0,suv,54556.0,28489
3CZRZ1H35RM737782,2024,Honda,HR-V,new,2092.0,crossover,10.0,26380
5FPYK3F50PB067752,2023,Honda,Ridgeline,new,860.0,truck,10.0,45480
1FDBF2B61NED78242,2022,Ford,F-250 Super Duty,new,999.0,truck,5.0,40820
1FDBF2B68NED78240,2022,Ford,F-250 Super Duty,new,999.0,truck,5.0,40820
1FM5K8AC4RGA02163,2024,Ford,Explorer,new,961.0,suv,8.0,53470
1FMCU0GN2RUA04314,2024,Ford,Escape,new,975.0,suv,3.0,31835
1FMCU9PA4PUB44525,2023,Ford,Escape,new,975.0,suv,4.0,35650
1FMDE5AH9PLC15613,2023,Ford,Bronco,new,938.0,suv,25.0,41145
1FMSK8BBXRGA01723,2024,Ford,Explorer,new,961.0,suv,3.0,40940
1FT8W2BT7NEF64923,2022,Ford,F-250 Super Duty,new,999.0,truck,85.0,64810
1FT8W2BTXREC18841,2024,Ford,F-250 Super Duty,new,999.0,truck,4.0,64855
1FTBR1C88PKC12598,2023,Ford,Transit,new,2325.0,passenger_cargo_van,61.0,49195
1FTFW1E89PKD15679,2023,Ford,F-150,new,957.0,truck,3.0,56795
1FTVW1EV7PWG13206,2023,Ford,F-150 Lightning,new,2441.0,truck,73.0,83869
2FMPK4G94RBA45115,2024,Ford,Edge,new,955.0,suv,2.0,35920
3FMTK3R48PMA64739,2023,Ford,Mustang Mach-E,new,2367.0,suv,21.0,46295
3FMTK3SUXPMA68687,2023,Ford,Mustang Mach-E,new,2367.0,suv,20.0,53295
1FDUF5GN3PEC44460,2023,Ford,F-550 Super Duty Chassis,new,,truck,10.0,53075
1FMEE5DP3PLB70577,2023,Ford,Bronco,new,938.0,suv,83.0,55815
1FT6W1EV0PWG31888,2023,Ford,F-150 Lightning,new,2441.0,truck,52.0,61795
1FA6P8TH1R5121535,2024,Ford,Mustang,new,969.0,coupe,4.0,32615
1FMEE5JR6PLB90229,2023,Ford,Bronco,new,938.0,suv,16.0,96355
1FMSK7DH3PGC33461,2023,Ford,Explorer,new,961.0,suv,4.0,42115
1FT6W1EV2PWG57411,2023,Ford,F-150 Lightning,new,2441.0,truck,15.0,61940
1FT6W1EV5PWG06131,2023,Ford,F-150 Lightning,new,2441.0,truck,108.0,84084
1FT7W2BT6PEE04689,2023,Ford,F-250 Super Duty,new,999.0,truck,4.0,64240
