modelId,make_model
2086.0,Lexus NX 200t
1202.0,Chevrolet HHR
1923.0,Buick Lucerne
2308.0,Kia Niro EV
2374.0,Polestar 2
2256.0,GMC Sierra 1500 Limited
1787.0,Scion FR-S
1244.0,Chevrolet SSR
1660.0,Volkswagen CC
2228.0,Lexus RX 350L
1221.0,Chevrolet Spark EV
2572.0,Alfa Romeo Tonale
2520.0,Subaru Solterra
1737.0,Kia Soul
961.0,Ford Explorer
2200.0,Kia Stinger
1388.0,Audi A7
944.0,Ford Expedition
2333.0,Cadillac CT5
1440.0,Dodge Challenger
1297.0,Chrysler Pacifica
1415.0,Jeep Grand Cherokee
1472.0,Dodge Charger
1364.0,Audi S4
1327.0,BMW X1
1145.0,GMC Sierra 1500
908.0,Toyota 4Runner
2090.0,Land Rover Discovery Sport
1210.0,Chevrolet Blazer
2031.0,Subaru WRX
2292.0,Toyota Corolla Hybrid
2352.0,Honda CR-V Hybrid
911.0,Toyota Sienna
2438.0,Hyundai Elantra Hybrid
2253.0,Toyota Corolla Hatchback
1882.0,Porsche Panamera
2248.0,Nissan Kicks
955.0,Ford Edge
2463.0,Ford Maverick
2471.0,Lexus NX 350
2580.0,Toyota Corolla Cross Hybrid
1416.0,Jeep Patriot
1508.0,Nissan Armada
2396.0,Kia Sorento Hybrid
2087.0,Lexus NX 300h
1301.0,Chrysler 200
1076.0,Subaru Crosstrek
1419.0,Dodge Durango
2178.0,Nissan Rogue Hybrid
1783.0,Volvo C30
1494.0,Nissan NV200
1798.0,Mitsubishi Mirage
2084.0,Mercedes-Benz B-Class
1709.0,Ram ProMaster
2123.0,Jaguar XE
1613.0,Infiniti G37
2449.0,Toyota Corolla Cross
875.0,Toyota Matrix
1732.0,Kia Sedona
1212.0,Chevrolet SS
2522.0,Mercedes-Benz EQE
1871.0,Porsche Boxster
1337.0,BMW X6 M
2150.0,Volvo V90 Cross Country
1537.0,Cadillac Eldorado
1764.0,Volvo S90
2174.0,Audi S5 Sportback
2615.0,Buick Envista
1146.0,GMC Envoy
1074.0,FIAT 500L
2109.0,Lexus IS 200t
965.0,Ford Fusion
1279.0,Chevrolet Silverado 1500
1056.0,Hyundai Santa Fe
865.0,Honda Pilot
1386.0,Audi A6
1758.0,Maserati Quattroporte
1506.0,Nissan Titan
1729.0,Kia Sportage
1711.0,Ram 1500
1336.0,BMW 7 Series
1238.0,Chevrolet Colorado
1236.0,Chevrolet Camaro
1497.0,Nissan LEAF
2180.0,Alfa Romeo Giulia
959.0,Ford Fusion Hybrid
1019.0,Mercedes-Benz S-Class
2046.0,BMW X4
1316.0,BMW 6 Series
938.0,Ford Bronco
1182.0,Lincoln MKZ Hybrid
963.0,Ford Focus
856.0,Honda Accord
1939.0,Buick Verano
1254.0,Chevrolet Silverado 2500HD
2436.0,Chevrolet Silverado 1500 Limited
2119.0,Toyota RAV4 Hybrid
2357.0,Tesla Model Y
2427.0,Toyota GR86
1681.0,Pontiac Solstice
1240.0,Chevrolet Suburban
1061.0,Hyundai Accent
2304.0,Hyundai Palisade
1917.0,Lexus RX 350
1190.0,Lincoln Navigator
2432.0,Hyundai Ioniq 5
1531.0,Cadillac XTS
1658.0,Volkswagen Beetle
1724.0,Kia Optima Hybrid
2017.0,Smart fortwo
2456.0,Volkswagen Taos
1924.0,Buick Encore
1259.0,Chevrolet Cruze
1579.0,Infiniti QX80
2407.0,Infiniti QX55
1349.0,Acura Integra
2252.0,Ford Expedition MAX
1484.0,Nissan 370Z
