make,model,modelId,make_model
Jeep,Wrangler Unlimited,1403.0,Jeep Wrangler Unlimited
Infiniti,Q60,2282.0,Infiniti Q60
Audi,S5,1370.0,Audi S5
Mazda,Mazda3,1575.0,Mazda Mazda3
Toyota,Grand Highlander,2617.0,Toyota Grand Highlander
Hyundai,Ioniq Electric,2170.0,Hyundai Ioniq Electric
Land Rover,Defender,1040.0,Land Rover Defender
Lexus,RX 330,1913.0,Lexus RX 330
Lexus,IS 250C,1918.0,Lexus IS 250C
Ford,C-MAX Hybrid,984.0,Ford C-MAX Hybrid
Audi,RS 5 Sportback,2260.0,Audi RS 5 Sportback
Chevrolet,Aveo,1217.0,Chevrolet Aveo
Chevrolet,Silverado 1500 LD,2275.0,Chevrolet Silverado 1500 LD
Toyota,GR Supra,2366.0,Toyota GR Supra
Lexus,RX 500h,2556.0,Lexus RX 500h
Buick,Envista,2615.0,Buick Envista
Infiniti,EX35,1592.0,Infiniti EX35
Lexus,RX 350L,2228.0,Lexus RX 350L
Subaru,Solterra,2520.0,Subaru Solterra
Mercedes-Benz,CLA,1020.0,Mercedes-Benz CLA
BMW,3 Series,1325.0,BMW 3 Series
Kia,Soul,1737.0,Kia Soul
Volkswagen,Tiguan,1657.0,Volkswagen Tiguan
Mercedes-Benz,E-Class,1030.0,Mercedes-Benz E-Class
Honda,Ridgeline,860.0,Honda Ridgeline
Ram,1500,1711.0,Ram 1500
Dodge,Grand Caravan,1418.0,Dodge Grand Caravan
Porsche,Macan,1881.0,Porsche Macan
Mazda,CX-5,1550.0,Mazda CX-5
Volkswagen,Atlas,2173.0,Volkswagen Atlas
Land Rover,Range Rover Evoque,1043.0,Land Rover Range Rover Evoque
Ford,Fusion Hybrid,959.0,Ford Fusion Hybrid
MINI,Countryman,2069.0,MINI Countryman
Mercedes-Benz,CLS,1014.0,Mercedes-Benz CLS
Chevrolet,Blazer,1210.0,Chevrolet Blazer
Hyundai,Ioniq Hybrid,2162.0,Hyundai Ioniq Hybrid
Volvo,XC90,1774.0,Volvo XC90
Ford,F-250,973.0,Ford F-250
Honda,Accord Hybrid,872.0,Honda Accord Hybrid
Subaru,BRZ,1083.0,Subaru BRZ
Lexus,NX 350,2471.0,Lexus NX 350
Cadillac,XT4,2255.0,Cadillac XT4
Hyundai,Santa Cruz,2468.0,Hyundai Santa Cruz
Hyundai,Sonata Hybrid,1054.0,Hyundai Sonata Hybrid
Mazda,Mazda6,1573.0,Mazda Mazda6
Toyota,Avalon,903.0,Toyota Avalon
Genesis,G70,2254.0,Genesis G70
Ram,3500,1710.0,Ram 3500
Lexus,NX 300h,2087.0,Lexus NX 300h
Subaru,Crosstrek,1076.0,Subaru Crosstrek
Ford,Fusion Energi,945.0,Ford Fusion Energi
Nissan,370Z,1484.0,Nissan 370Z
Ford,C-MAX Energi,1004.0,Ford C-MAX Energi
Lexus,IS 250,1914.0,Lexus IS 250
Toyota,bZ4X,2514.0,Toyota bZ4X
Lincoln,MKX,1196.0,Lincoln MKX
Land Rover,Range Rover Velar,2187.0,Land Rover Range Rover Velar
Porsche,Cayman,1878.0,Porsche Cayman
Kia,Niro,2165.0,Kia Niro
Ram,ProMaster,1709.0,Ram ProMaster
Toyota,RAV4 Prime,2368.0,Toyota RAV4 Prime
Scion,iM,2100.0,Scion iM
Wagoneer,Wagoneer,2570.0,Wagoneer Wagoneer
Scion,tC,1792.0,Scion tC
Kia,Niro EV,2308.0,Kia Niro EV
Lexus,TX 350,2648.0,Lexus TX 350
FIAT,124 Spider,2141.0,FIAT 124 Spider
Volvo,C40,2472.0,Volvo C40
Jaguar,XK,1392.0,Jaguar XK
Volvo,S90,1764.0,Volvo S90
Mazda,MX-5 Miata,1568.0,Mazda MX-5 Miata
Mitsubishi,Mirage G4,2135.0,Mitsubishi Mirage G4
Jaguar,F-PACE,2122.0,Jaguar F-PACE
Volkswagen,CC,1660.0,Volkswagen CC
Volkswagen,Touareg,1656.0,Volkswagen Touareg
MINI,Cooper,1845.0,MINI Cooper
Dodge,Journey,1469.0,Dodge Journey
Honda,Odyssey,857.0,Honda Odyssey
Mercedes-Benz,GLS,2128.0,Mercedes-Benz GLS
Kia,Stinger,2200.0,Kia Stinger
Audi,Q8,2270.0,Audi Q8
Cadillac,CT5,2333.0,Cadillac CT5
Ford,Shelby GT500,994.0,Ford Shelby GT500
Nissan,Sentra,1512.0,Nissan Sentra
BMW,7 Series,1336.0,BMW 7 Series
Mitsubishi,Eclipse Cross,2231.0,Mitsubishi Eclipse Cross
Dodge,Challenger,1440.0,Dodge Challenger
Volkswagen,Passat,1645.0,Volkswagen Passat
Nissan,Frontier,1501.0,Nissan Frontier
Chevrolet,Camaro,1236.0,Chevrolet Camaro
Mitsubishi,Lancer,1809.0,Mitsubishi Lancer
Infiniti,QX30,2140.0,Infiniti QX30
Audi,Q3,2052.0,Audi Q3
BMW,X5,1322.0,BMW X5
Toyota,Venza,876.0,Toyota Venza
Cadillac,CTS-V,1525.0,Cadillac CTS-V
Chevrolet,Silverado 2500HD,1254.0,Chevrolet Silverado 2500HD
Toyota,RAV4 Hybrid,2119.0,Toyota RAV4 Hybrid
GMC,Sierra 2500HD,1123.0,GMC Sierra 2500HD
Porsche,Panamera,1882.0,Porsche Panamera
Lincoln,Navigator,1190.0,Lincoln Navigator
Subaru,Forester,1089.0,Subaru Forester
Audi,Q5 Sportback,2417.0,Audi Q5 Sportback
Buick,Encore,1924.0,Buick Encore
Volvo,XC40,2235.0,Volvo XC40
Kia,Sorento Hybrid,2396.0,Kia Sorento Hybrid
Lexus,RX 450h,1911.0,Lexus RX 450h
Chevrolet,Silverado 2500,1228.0,Chevrolet Silverado 2500
Infiniti,QX80,1579.0,Infiniti QX80
Kia,Rio 5-Door,2316.0,Kia Rio 5-Door
Chevrolet,Bolt EV,2156.0,Chevrolet Bolt EV
Ford,Expedition MAX,2252.0,Ford Expedition MAX
Ford,E-Series,987.0,Ford E-Series
Lexus,NX 350h,2466.0,Lexus NX 350h
